CPU model on this node:
model name	: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz
Running Python script now!
         115778 function calls (113084 primitive calls) in 0.137 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
      618    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      314    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
      319    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:1(<module>)
      143    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      358    0.001    0.000    0.002    0.000 enum.py:88(__setitem__)
       13    0.000    0.000    0.002    0.000 enum.py:545(<listcomp>)
      176    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      127    0.001    0.000    0.002    0.000 sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.002    0.002 ipaddress.py:4(<module>)
      190    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       14    0.000    0.000    0.002    0.000 core.py:114(doc_note)
     1876    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
      328    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      305    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
     2213    0.001    0.000    0.001    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.001    0.001 quoprimime.py:5(<module>)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
     4514    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      990    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7fce9b78e960}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       28    0.001    0.000    0.001    0.000 inspect.py:626(cleandoc)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
    10868    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       11    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
      221    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       48    0.000    0.000    0.001    0.000 sre_compile.py:560(_compile_info)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       33    0.000    0.000    0.001    0.000 abc.py:105(__new__)
     2717    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
